Time (t),f1_t,f2_t,f3_t,f4_t,f5_t,f6_t,f7_t,f8_t,f9_t,f10_t,f11_t,f12_t,f13_t,f14_t,f15_t,f16_t,f17_t,f18_t,f19_t,f20_t,f21_t,f22_t,f23_t,f24_t,f25_t,f26_t,f27_t,f28_t,f29_t,f30_t,Output,,,,,,
1,60,60,60,60,60,60,60,60.1,60.13,60.01,60.04,60.05,60.13,60.05,60.1,60.14,60.01,60.09,60,60.15,60.11,60.1,60,60,60,60,60,60,60,60,Normal,,,,,,
2,60,60,60,60,60,60,60,60,60,60,60,60.13,60.12,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,Normal,,,,,,
3,60,60,60,60,60,60,60,60,60,60,60,60.08,60.1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,Normal,,,,,,
4,60,60,60,60,60,60,60,60,60,60,60,60.03,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,Normal,,,,,,
5,60,60,60,60,60,60,60,60,60,60,60,60.06,60.05,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,Normal,,,,,,
6,60,60,60,60,60,60,60,60,60,60,60,60.06,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,Normal,,,,,,
7,60,60,60,60,60,60,60,60,60,60,60,60.11,60.1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,Normal,,,,,,
8,60,60,60,60,60,60,60,60,60,60,60,60.02,60.09,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,Normal,,,,,,
9,60,60,60,60,60,60,60,60,60,60,60,60.07,60.1,60,60,60,60,60,60,60,60,60,60,60,60,60,59.999,59.999,59.999,59.999,Normal,,,,,,
10,60,60,60,60,60,60,60,60,60,60,60,60.11,60.02,60,60,60,60,60,60,60,60,60,60,60,60,60,59.999,59.999,59.999,59.999,Normal,,,,,,
11,60,60,60,60,60,60,60,60,60,60,60,60.07,60.01,60,60,60,60,60,60,60,60,60,60,60,60,60,59.999,59.999,59.999,59.999,Normal,,,,,,
12,60,60,60,60,60,60,60,60,60,60,60,60.06,60.09,60,60,60,60,60,60,60,60,60,60,60,60,60,59.999,59.999,59.999,59.999,Normal,,,,,,
13,60,60,60,60,60,60,60,60,60,60,60,60.01,60.14,60,60,60,60,60,60,60,60,60,60,60,60,60,59.999,59.999,59.999,59.999,Normal,,,,,,
14,60,60,60,60,60,60,60,60,60,60,60,60.13,60.04,60,60,60,60,60,60,60,60,60,60,60,59.999,59.999,59.999,59.999,59.999,59.999,Normal,,,,,,
