learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.1092007,0.0,1000.0,81.10000000000001,81.10000000000001,-9349.999999999989,66.78383128295256,1000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.2184014,0.0,2000.0,64.2,64.2,-14220.000000000306,37.79322328410078,2000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.2652017,0.0,3000.0,58.06666666666666,58.06666666666666,-17871.428571428838,28.03203661327231,3000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.3900025,0.0,4000.0,64.875,64.875,-15511.111111111288,43.301049233252634,4000.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5000.0,0.4992032,0.0,5000.0,64.98,64.98,-15818.181818181964,46.745742092457434,5000.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
6000.0,0.5928038,0.0,6000.0,67.21666666666667,67.21666666666667,-15030.769230769345,51.78921568627452,6000.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.6708043,0.0,7000.0,66.81428571428572,66.81428571428572,-15386.66666666688,50.825571549534295,7000.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.7956051,0.0,8000.0,68.6875,68.6875,-14635.294117646758,52.24933282500953,8000.0,0.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
9000.0,0.9204059,0.0,9000.0,69.95555555555556,69.95555555555556,-14131.57894736874,54.32432432432434,9000.0,0.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
10000.0,1.0296066,0.0,10000.0,69.13,69.13,-14600.000000000062,54.435424354243544,10000.0,0.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
11000.0,1.1388073,0.0,11000.0,68.35454545454546,68.35454545454546,-15034.782608695272,52.902178324989855,11000.0,0.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
12000.0,1.248008,0.0,12000.0,69.0,69.0,-14780.000000000055,54.5676599902296,12000.0,0.0,11.0,6.0,6.0,5.0,0.0,0.0,1.0
13000.0,1.3728088,0.0,13000.0,70.02307692307693,70.02307692307693,-14333.333333333263,57.21813590954,13000.0,0.0,11.0,6.0,6.0,5.0,0.0,0.0,1.0
14000.0,1.4508093,0.0,14000.0,71.2357142857143,71.2357142857143,-13323.333333333518,57.97328323940724,14000.0,0.0,13.0,7.0,7.0,6.0,0.0,0.0,1.0
15000.0,1.56001,0.0,15000.0,71.60666666666667,71.60666666666667,-13209.375000000082,58.04354250812727,15000.0,0.0,13.0,7.0,7.0,6.0,0.0,0.0,1.0
16000.0,1.6692107,0.0,16000.0,72.0625,72.0625,-12671.428571428522,58.40312674483529,16000.0,0.0,15.0,8.0,8.0,7.0,0.0,0.0,1.0
17000.0,1.7940115,0.0,17000.0,72.46470588235294,72.46470588235294,-12551.351351351112,58.73225778012872,17000.0,0.0,15.0,8.0,8.0,7.0,0.0,0.0,1.0
18000.0,1.9188123,0.0,18000.0,73.05,73.05,-12338.461538461632,59.81943178994451,18000.0,0.0,17.0,9.0,9.0,8.0,0.0,0.0,1.0
19000.0,2.0436131,0.0,19000.0,73.96842105263158,73.96842105263158,-11963.414634146166,61.60832104323528,19000.0,0.0,17.0,9.0,9.0,8.0,0.0,0.0,1.0
20000.0,2.1528138,0.0,20000.0,74.605,74.605,-11711.627906976826,62.85923217550273,20000.0,0.0,19.0,10.0,10.0,9.0,0.0,0.0,1.0
21000.0,2.2932147,0.0,21000.0,75.24285714285715,75.24285714285715,-11453.333333333494,63.69159857531951,21000.0,0.0,19.0,10.0,10.0,9.0,0.0,0.0,1.0
22000.0,2.4180155,0.0,22000.0,75.50909090909092,75.50909090909092,-11363.82978723422,63.695168789165166,22000.0,0.0,19.0,10.0,10.0,9.0,0.0,0.0,1.0
23000.0,2.5428163,0.0,23000.0,75.6608695652174,75.6608695652174,-11324.489795918564,63.918788269416694,23000.0,0.0,19.0,10.0,10.0,9.0,0.0,0.0,1.0
24000.0,2.6832172,0.0,24000.0,76.27083333333333,76.27083333333333,-11066.666666666439,65.21075137446547,24000.0,0.0,21.0,11.0,11.0,10.0,0.0,0.0,1.0
25000.0,2.808018,0.0,25000.0,76.5,76.5,-10984.905660377302,65.4126928058401,25000.0,0.0,25.0,13.0,13.0,12.0,0.0,0.0,1.0
26000.0,2.9484189,0.0,26000.0,76.97307692307692,76.97307692307692,-10785.454545454471,66.33301467693865,26000.0,0.0,25.0,13.0,13.0,12.0,0.0,0.0,1.0
27000.0,3.0732197,0.0,27000.0,77.34074074074074,77.34074074074074,-10633.333333333572,67.29041916167665,27000.0,0.0,25.0,13.0,13.0,12.0,0.0,0.0,1.0
28000.0,3.2136206,0.0,28000.0,77.53571428571429,77.53571428571429,-10383.33333333348,67.17804216238783,28000.0,0.0,25.0,13.0,13.0,12.0,0.0,0.0,1.0
29000.0,3.3384214,0.0,29000.0,77.67931034482758,77.67931034482758,-10340.32258064502,67.1970810317742,29000.0,0.0,25.0,13.0,13.0,12.0,0.0,0.0,1.0
30000.0,3.432022,0.0,30000.0,77.81666666666666,77.81666666666666,-10138.461538461617,67.28282778624454,30000.0,0.0,25.0,13.0,13.0,12.0,0.0,0.0,1.0
31000.0,3.5724229,0.0,31000.0,78.13870967741936,78.13870967741936,-10014.925373134483,67.63301174897316,31000.0,0.0,25.0,13.0,13.0,12.0,0.0,0.0,1.0
32000.0,3.6972237,0.0,32000.0,78.559375,78.559375,-9843.478260869702,68.3357947203249,32000.0,0.0,25.0,13.0,13.0,12.0,0.0,0.0,1.0
33000.0,3.8532247,0.0,33000.0,78.74848484848485,78.74848484848485,-9777.46478873251,68.80060503603524,33000.0,0.0,25.0,13.0,13.0,12.0,0.0,0.0,1.0
34000.0,3.9780255,0.0,34000.0,78.95,78.95,-9704.109589041193,69.2436613665664,34000.0,0.0,25.0,13.0,13.0,12.0,0.0,0.0,1.0
35000.0,4.1184264,0.0,35000.0,79.1542857142857,79.1542857142857,-9628.000000000136,69.49067491845781,35000.0,0.0,27.0,14.0,14.0,12.0,0.0,0.0,1.0
36000.0,4.2900275,0.0,36000.0,79.27777777777779,79.27777777777779,-9588.31168831158,69.471271893927,36000.0,0.0,27.0,14.0,14.0,12.0,0.0,0.0,1.0
