learning evaluation instances	evaluation time (cpu seconds)	model cost (RAM-Hours)	classified instances	classifications correct (percent)	Kappa Statistic (percent)	Kappa Temporal Statistic (percent)	Kappa M Statistic (percent)	model training instances	model serialized size (bytes)	ensemble size	[avg] model training instances	[err] model training instances	[avg] model serialized size (bytes)	[err] model serialized size (bytes)	[avg] tree size (nodes)	[err] tree size (nodes)	[avg] tree size (leaves)	[err] tree size (leaves)	[avg] active learning leaves	[err] active learning leaves	[avg] tree depth	[err] tree depth	[avg] active leaf byte size estimate	[err] active leaf byte size estimate	[avg] inactive leaf byte size estimate	[err] inactive leaf byte size estimate	[avg] byte size estimate overhead	[err] byte size estimate overhead
10000	4.4772287	0	10000	69.64	69.64	-14357.14286	55.18819188	10000	0	10	9980.1	19.66861572	0	0	8.8	0.359010987	4.9	0.179505494	4.9	0.179505494	3.9	0.179505494	0	0	0	0	1	0
20000	9.0636581	0	20000	73.85	73.85	-12062.7907	61.75502742	20000	0	10	20015.7	24.56693804	0	0	18	0.447213595	9.5	0.223606798	9.5	0.223606798	7.7	0.448454135	0	0	0	0	1	0
30000	13.6812877	0	30000	76.48666667	76.48666667	-10752.30769	65.32127231	30000	0	10	29947.7	33.35534273	0	0	26.2	0.904310664	13.6	0.452155332	13.6	0.452155332	10.3	0.597215762	0	0	0	0	1	0
40000	18.3925179	0	40000	79.38	79.38	-9603.529412	69.87362116	40000	0	10	39927.5	41.5331862	0	0	36.6	1.024152766	18.8	0.512076383	18.8	0.512076383	13	0.730296743	0	0	0	0	1	0
50000	22.8073462	0	50000	81.572	81.572	-8511.214953	72.92468632	50000	0	10	49915.3	46.12929896	0	0	43.6	0.845905169	22.3	0.422952585	22.3	0.422952585	14.6	0.871779789	0	0	0	0	1	0
60000	27.4249758	0	60000	83.33833333	83.33833333	-7649.612403	75.53233149	60000	0	10	59897.6	45.11594938	0	0	52.8	1.20922381	26.9	0.604611905	26.9	0.604611905	16.7	0.88254682	0	0	0	0	1	0
70000	31.8398041	0	70000	84.46	84.46	-7152	77.29492799	70000	0	10	69921.3	51.70386833	0	0	60.8	1.504068556	30.9	0.752034278	30.9	0.752034278	18.1	1.149395977	0	0	0	0	1	0
80000	36.1142315	0	80000	85.37625	85.37625	-6741.520468	78.63196347	80000	0	10	79908.4	51.96113933	0	0	68.2	1.691810339	34.6	0.845905169	34.6	0.845905169	19	1.115546702	0	0	0	0	1	0
90000	40.4510593	0	90000	86.15888889	86.15888889	-6354.404145	79.79399838	90000	0	10	89911.5	59.95502944	0	0	75	1.788854382	38	0.894427191	38	0.894427191	20.1	1.149395977	0	0	0	0	1	0
100000	44.8814877	0	100000	86.774	86.774	-6051.627907	80.63996721	100000	0	10	99860.2	73.07785802	0	0	80.8	1.872609587	40.9	0.936304794	40.9	0.936304794	21	1.115546702	0	0	0	0	1	0
110000	49.3743165	0	110000	87.36818182	87.36818182	-5812.765957	81.56012368	110000	0	10	109884.6	100.1713199	0	0	88.8	1.848723283	44.9	0.924361642	44.9	0.924361642	22.1	1.139688066	0	0	0	0	1	0
111896	51.1215277	0	111896	87.44369772	87.44369772	-5778.661088	81.67136297	111896	0	10	111781.2	94.73668772	0	0	90.6	2.166410241	45.8	1.083205121	45.8	1.083205121	22.2	1.133333333	0	0	0	0	1	0
