learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
120.0,0.1248008,0.0,120.0,100.0,100.0,?,?,120.0,0.0,10.0,67.89999999999999,6.728793849321486,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
240.0,0.1872012,0.0,240.0,97.5,97.5,-500.0000000000027,91.04477611940298,240.0,0.0,10.0,296.70000000000005,21.471453917546743,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
360.0,0.2496016,0.0,360.0,98.33333333333333,98.33333333333333,-500.000000000004,96.79144385026738,360.0,0.0,10.0,344.6,23.384800381634403,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
480.0,0.2964019,0.0,480.0,97.91666666666666,97.91666666666666,-900.0000000000053,96.74267100977197,480.0,0.0,10.0,493.5,63.62166821662778,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
600.0,0.3432022,0.0,600.0,98.0,98.0,-1099.9999999999734,97.18969555035129,600.0,0.0,10.0,558.1000000000001,84.3650072271937,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
720.0,0.3900025,0.0,720.0,98.33333333333333,98.33333333333333,-1100.000000000008,97.80621572212065,720.0,0.0,10.0,597.6,96.60299052191799,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
840.0,0.4524029,0.0,840.0,98.21428571428571,98.21428571428571,-650.0000000000047,97.36379613356763,840.0,0.0,10.0,1086.4,117.63476432491281,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
960.0,0.5148033,0.0,960.0,98.4375,98.4375,-650.0000000000026,97.36379613356766,960.0,0.0,10.0,1150.2,140.23264796599813,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1080.0,0.5772037,0.0,1080.0,98.24074074074073,98.24074074074073,-533.333333333336,96.75213675213675,1080.0,0.0,10.0,1492.8,118.00450085578184,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1200.0,0.6708043,0.0,1200.0,97.25,97.25,-1000.0000000000222,95.31914893617022,1200.0,0.0,10.0,1795.1,141.46907396632272,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1320.0,0.7488048,0.0,1320.0,92.34848484848484,92.34848484848484,-3266.6666666666047,87.75757575757575,1320.0,0.0,10.0,1925.6,161.83264332156364,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1440.0,0.8112052,0.0,1440.0,90.13888888888889,90.13888888888889,-4633.333333333349,84.97354497354497,1440.0,0.0,10.0,2002.8,173.34671743198496,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1560.0,0.8580055,0.0,1560.0,88.65384615384615,88.65384615384615,-5800.000000000024,83.38028169014085,1560.0,0.0,10.0,2052.4,175.88444438829083,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1680.0,0.936006,0.0,1680.0,87.14285714285714,87.14285714285714,-5300.000000000018,81.21739130434783,1680.0,0.0,10.0,2316.2,162.28033357947803,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1800.0,1.0296066,0.0,1800.0,87.94444444444444,87.94444444444444,-5324.999999999964,81.1304347826087,1800.0,0.0,10.0,2467.7999999999997,171.83731324197961,0.0,0.0,1.2000000000000002,0.19999999999999998,1.1,0.09999999999999999,1.1,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,0.0,1.0,0.0
1920.0,1.1076071,0.0,1920.0,88.69791666666667,88.69791666666667,-5325.00000000002,81.1304347826087,1920.0,0.0,10.0,2540.9,178.61040469879313,0.0,0.0,1.4,0.26666666666666666,1.2000000000000002,0.13333333333333333,1.2000000000000002,0.13333333333333333,0.19999999999999998,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
2040.0,1.2168078,0.0,2040.0,87.40196078431373,87.40196078431373,-5040.000000000018,78.42149454240135,2040.0,0.0,10.0,2620.0,180.84370169968443,0.0,0.0,1.5999999999999999,0.30550504633038933,1.2999999999999998,0.15275252316519466,1.2999999999999998,0.15275252316519466,0.3,0.15275252316519466,0.0,0.0,0.0,0.0,1.0,0.0
2160.0,1.2948083,0.0,2160.0,84.86111111111111,84.86111111111111,-6440.000000000128,75.05720823798626,2160.0,0.0,10.0,2727.1,181.2494567041666,0.0,0.0,1.5999999999999999,0.30550504633038933,1.2999999999999998,0.15275252316519466,1.2999999999999998,0.15275252316519466,0.3,0.15275252316519466,0.0,0.0,0.0,0.0,1.0,0.0
2280.0,1.3884089,0.0,2280.0,84.82456140350877,84.82456140350877,-6820.0000000001555,75.82110412299092,2280.0,0.0,10.0,2785.8,182.36610308814397,0.0,0.0,1.5999999999999999,0.30550504633038933,1.2999999999999998,0.15275252316519466,1.2999999999999998,0.15275252316519466,0.3,0.15275252316519466,0.0,0.0,0.0,0.0,1.0,0.0
2400.0,1.4664094,0.0,2400.0,82.70833333333333,82.70833333333333,-8200.000000000033,73.24306898774982,2400.0,0.0,10.0,2867.6,180.48565347725318,0.0,0.0,1.8,0.3265986323710904,1.4,0.1632993161855452,1.4,0.1632993161855452,0.39999999999999997,0.1632993161855452,0.0,0.0,0.0,0.0,1.0,0.0
2520.0,1.5444099,0.0,2520.0,81.23015873015873,81.23015873015873,-9360.000000000033,71.69359664871334,2520.0,0.0,10.0,2937.0,181.28657485379944,0.0,0.0,1.8,0.3265986323710904,1.4,0.1632993161855452,1.4,0.1632993161855452,0.39999999999999997,0.1632993161855452,0.0,0.0,0.0,0.0,1.0,0.0
2640.0,1.6380105,0.0,2640.0,81.81818181818183,81.81818181818183,-7899.999999999848,72.14161346488685,2640.0,0.0,10.0,3031.6,182.78507111419745,0.0,0.0,2.2,0.44221663871405326,1.6,0.22110831935702663,1.6,0.22110831935702663,0.6,0.22110831935702663,0.0,0.0,0.0,0.0,1.0,0.0
2760.0,1.716011,0.0,2760.0,82.5,82.5,-7950.000000000048,71.96749854904235,2760.0,0.0,10.0,3103.9,187.02492109639056,0.0,0.0,2.2,0.44221663871405326,1.6,0.22110831935702663,1.6,0.22110831935702663,0.6,0.22110831935702663,0.0,0.0,0.0,0.0,1.0,0.0
2880.0,1.8096116,0.0,2880.0,83.15972222222221,83.15972222222221,-7983.333333333363,71.85142193847939,2880.0,0.0,10.0,3162.1,194.26965509026078,0.0,0.0,2.2,0.44221663871405326,1.6,0.22110831935702663,1.6,0.22110831935702663,0.6,0.22110831935702663,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,1.9032122,0.0,3000.0,83.03333333333333,83.03333333333333,-7171.428571428679,70.88100686498856,3000.0,0.0,10.0,3360.7,202.15148610221328,0.0,0.0,2.4,0.4268749491621899,1.7,0.21343747458109494,1.7,0.21343747458109494,0.7,0.21343747458109494,0.0,0.0,0.0,0.0,1.0,0.0
3120.0,2.0124129,0.0,3120.0,81.82692307692308,81.82692307692308,-8000.00000000003,69.64668094218415,3120.0,0.0,10.0,3476.9,216.08436881099112,0.0,0.0,2.4,0.4268749491621899,1.7,0.21343747458109494,1.7,0.21343747458109494,0.7,0.21343747458109494,0.0,0.0,0.0,0.0,1.0,0.0
3240.0,2.1060135,0.0,3240.0,81.41975308641976,81.41975308641976,-8499.999999999784,69.71830985915494,3240.0,0.0,10.0,3560.8,226.03037160719992,0.0,0.0,2.4,0.4268749491621899,1.7,0.21343747458109494,1.7,0.21343747458109494,0.7,0.21343747458109494,0.0,0.0,0.0,0.0,1.0,0.0
3360.0,2.1996141,0.0,3360.0,80.71428571428572,80.71428571428572,-9157.14285714289,69.25996204933587,3360.0,0.0,10.0,3708.9,244.26099201923793,0.0,0.0,2.6000000000000005,0.49888765156985887,1.8,0.24944382578492943,1.8,0.24944382578492943,0.7999999999999999,0.24944382578492943,0.0,0.0,0.0,0.0,1.0,0.0
3480.0,2.3088148,0.0,3480.0,80.54597701149426,80.54597701149426,-9571.42857142833,69.61400359066428,3480.0,0.0,10.0,3837.2,260.2855611311033,0.0,0.0,2.8,0.4666666666666666,1.9,0.2333333333333333,1.9,0.2333333333333333,0.9,0.2333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
3600.0,2.4336156,0.0,3600.0,80.72222222222221,80.72222222222221,-8574.999999999945,70.36720751494448,3600.0,0.0,10.0,3996.1,273.7016400714066,0.0,0.0,3.0,0.5163977794943222,2.0000000000000004,0.25819888974716115,2.0000000000000004,0.25819888974716115,1.0,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
3720.0,2.5584164,0.0,3720.0,81.15591397849462,81.15591397849462,-8662.499999999827,70.06831767719896,3720.0,0.0,10.0,4088.1000000000004,267.98990238025345,0.0,0.0,3.4000000000000004,0.39999999999999997,2.2000000000000006,0.19999999999999998,2.2000000000000006,0.19999999999999998,1.2000000000000002,0.19999999999999998,0.0,0.0,0.0,0.0,1.0,0.0
3840.0,2.6832172,0.0,3840.0,81.61458333333333,81.61458333333333,-8725.000000000031,69.85482493595218,3840.0,0.0,10.0,4157.8,265.8863082012477,0.0,0.0,3.5999999999999996,0.4268749491621899,2.3000000000000003,0.213437474581095,2.3000000000000003,0.213437474581095,1.2999999999999998,0.21343747458109494,0.0,0.0,0.0,0.0,1.0,0.0
3960.0,2.7924179,0.0,3960.0,81.74242424242424,81.74242424242424,-7933.333333333185,70.34454470877768,3960.0,0.0,10.0,4284.0,272.33280293706,0.0,0.0,3.5999999999999996,0.4268749491621899,2.3000000000000003,0.213437474581095,2.3000000000000003,0.213437474581095,1.2999999999999998,0.21343747458109494,0.0,0.0,0.0,0.0,1.0,0.0
4080.0,2.9328188,0.0,4080.0,81.86274509803921,81.86274509803921,-8122.222222222253,71.0711493354183,4080.0,0.0,10.0,4387.299999999999,275.3690069706466,0.0,0.0,3.9999999999999996,0.44721359549995787,2.5,0.22360679774997894,2.5,0.22360679774997894,1.5,0.22360679774997896,0.0,0.0,0.0,0.0,1.0,0.0
4200.0,3.0732197,0.0,4200.0,81.52380952380952,81.52380952380952,-8522.222222222344,71.02315160567588,4200.0,0.0,10.0,4465.2,278.3841390756465,0.0,0.0,4.199999999999999,0.44221663871405326,2.5999999999999996,0.22110831935702663,2.5999999999999996,0.22110831935702663,1.5999999999999999,0.2211083193570266,0.0,0.0,0.0,0.0,1.0,0.0
4320.0,3.1824204,0.0,4320.0,81.94444444444444,81.94444444444444,-8566.666666666699,72.1229449606862,4320.0,0.0,10.0,4521.3,280.32738994888734,0.0,0.0,4.199999999999999,0.44221663871405326,2.5999999999999996,0.22110831935702663,2.5999999999999996,0.22110831935702663,1.5999999999999999,0.2211083193570266,0.0,0.0,0.0,0.0,1.0,0.0
4440.0,3.276021,0.0,4440.0,82.40990990990991,82.40990990990991,-8577.77777777763,73.23509252912953,4440.0,0.0,10.0,4564.4,283.95012081545434,0.0,0.0,4.199999999999999,0.44221663871405326,2.5999999999999996,0.22110831935702663,2.5999999999999996,0.22110831935702663,1.5999999999999999,0.2211083193570266,0.0,0.0,0.0,0.0,1.0,0.0
4560.0,3.3852217,0.0,4560.0,82.67543859649122,82.67543859649122,-8677.77777777763,73.99605003291639,4560.0,0.0,10.0,4607.599999999999,288.24134177995893,0.0,0.0,4.199999999999999,0.44221663871405326,2.5999999999999996,0.22110831935702663,2.5999999999999996,0.22110831935702663,1.5999999999999999,0.2211083193570266,0.0,0.0,0.0,0.0,1.0,0.0
4680.0,3.5256226,0.0,4680.0,82.64957264957265,82.64957264957265,-8020.000000000032,73.93258426966291,4680.0,0.0,10.0,4928.4,268.8240316638376,0.0,0.0,4.6,0.39999999999999997,2.8,0.19999999999999998,2.8,0.19999999999999998,1.7999999999999998,0.19999999999999996,0.0,0.0,0.0,0.0,1.0,0.0
4800.0,3.6816236,0.0,4800.0,83.0,83.0,-8060.000000000031,73.80417335473516,4800.0,0.0,10.0,5126.9,278.73266562943223,0.0,0.0,4.8,0.3590109871423002,2.9,0.1795054935711501,2.9,0.1795054935711501,1.9,0.1795054935711501,0.0,0.0,0.0,0.0,1.0,0.0
4920.0,3.8376246,0.0,4920.0,82.92682926829268,82.92682926829268,-7536.363636363758,73.8154613466334,4920.0,0.0,10.0,5307.3,278.73974520250164,0.0,0.0,4.8,0.3590109871423002,2.9,0.1795054935711501,2.9,0.1795054935711501,1.9,0.1795054935711501,0.0,0.0,0.0,0.0,1.0,0.0
5040.0,3.9624254,0.0,5040.0,82.7579365079365,82.7579365079365,-7800.00000000003,73.88822115384615,5040.0,0.0,10.0,5411.7,277.4933052245485,0.0,0.0,4.8,0.3590109871423002,2.9,0.1795054935711501,2.9,0.1795054935711501,1.9,0.1795054935711501,0.0,0.0,0.0,0.0,1.0,0.0
5160.0,4.1184264,0.0,5160.0,81.80232558139535,81.80232558139535,-8436.36363636353,72.76682134570765,5160.0,0.0,10.0,5495.0,277.93660348280065,0.0,0.0,5.200000000000001,0.35901098714230034,3.1000000000000005,0.17950549357115017,3.1000000000000005,0.17950549357115017,2.1000000000000005,0.17950549357115017,0.0,0.0,0.0,0.0,1.0,0.0
5280.0,4.2588273,0.0,5280.0,82.02651515151516,82.02651515151516,-8527.272727272757,73.40246636771302,5280.0,0.0,10.0,5571.7,280.88946224449217,0.0,0.0,5.200000000000001,0.35901098714230034,3.1000000000000005,0.17950549357115017,3.1000000000000005,0.17950549357115017,2.1000000000000005,0.17950549357115017,0.0,0.0,0.0,0.0,1.0,0.0
5400.0,4.3836281,0.0,5400.0,81.94444444444444,81.94444444444444,-8024.999999999949,73.27302631578947,5400.0,0.0,10.0,5764.799999999999,285.45892095983885,0.0,0.0,5.200000000000001,0.35901098714230034,3.1000000000000005,0.17950549357115017,3.1000000000000005,0.17950549357115017,2.1000000000000005,0.17950549357115017,0.0,0.0,0.0,0.0,1.0,0.0
5520.0,4.5552292,0.0,5520.0,82.30072463768116,82.30072463768116,-8041.666666666715,73.21820175438597,5520.0,0.0,10.0,5923.300000000001,290.67572806976654,0.0,0.0,5.4,0.39999999999999997,3.2,0.19999999999999998,3.2,0.19999999999999998,2.2,0.19999999999999998,0.0,0.0,0.0,0.0,1.0,0.0
5640.0,4.6956301,0.0,5640.0,82.6418439716312,82.6418439716312,-7430.769230769268,73.68279569892474,5640.0,0.0,10.0,5986.299999999999,290.9446701885276,0.0,0.0,5.4,0.39999999999999997,3.2,0.19999999999999998,3.2,0.19999999999999998,2.2,0.19999999999999998,0.0,0.0,0.0,0.0,1.0,0.0
5760.0,4.836031,0.0,5760.0,82.53472222222223,82.53472222222223,-7638.461538461471,73.80208333333333,5760.0,0.0,10.0,6057.1,289.31146038674495,0.0,0.0,5.4,0.39999999999999997,3.2,0.19999999999999998,3.2,0.19999999999999998,2.2,0.19999999999999998,0.0,0.0,0.0,0.0,1.0,0.0
5880.0,5.0076321,0.0,5880.0,82.07482993197279,82.07482993197279,-8007.692307692277,73.38383838383838,5880.0,0.0,10.0,6260.1,280.97609427770817,0.0,0.0,5.6000000000000005,0.30550504633038933,3.3000000000000003,0.15275252316519466,3.3000000000000003,0.15275252316519466,2.3000000000000003,0.15275252316519466,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,5.148033,0.0,6000.0,81.71666666666667,81.71666666666667,-8338.4615384616,73.11274509803923,6000.0,0.0,10.0,6414.5,285.2595017406665,0.0,0.0,5.6000000000000005,0.30550504633038933,3.3000000000000003,0.15275252316519466,3.3000000000000003,0.15275252316519466,2.3000000000000003,0.15275252316519466,0.0,0.0,0.0,0.0,1.0,0.0
6120.0,5.2884339,0.0,6120.0,81.63398692810458,81.63398692810458,-8546.153846153878,73.23809523809524,6120.0,0.0,10.0,6489.5,287.9308269552101,0.0,0.0,5.6000000000000005,0.30550504633038933,3.3000000000000003,0.15275252316519466,3.3000000000000003,0.15275252316519466,2.3000000000000003,0.15275252316519466,0.0,0.0,0.0,0.0,1.0,0.0
6240.0,5.4132347,0.0,6240.0,81.61858974358974,81.61858974358974,-8723.076923076955,73.44907407407408,6240.0,0.0,10.0,6551.2,289.8922328498414,0.0,0.0,5.6000000000000005,0.30550504633038933,3.3000000000000003,0.15275252316519466,3.3000000000000003,0.15275252316519466,2.3000000000000003,0.15275252316519466,0.0,0.0,0.0,0.0,1.0,0.0
6360.0,5.5692357,0.0,6360.0,81.87106918238993,81.87106918238993,-8135.714285714082,73.32870691649318,6360.0,0.0,10.0,6700.900000000001,288.0650563096236,0.0,0.0,6.0,0.33333333333333326,3.5,0.16666666666666663,3.5,0.16666666666666663,2.5,0.16666666666666663,0.0,0.0,0.0,0.0,1.0,0.0
6480.0,5.6940365,0.0,6480.0,82.19135802469137,82.19135802469137,-8142.857142856934,73.3055748322924,6480.0,0.0,10.0,6747.6,288.5805953282375,0.0,0.0,6.199999999999999,0.44221663871405326,3.5999999999999996,0.22110831935702663,3.5999999999999996,0.22110831935702663,2.5999999999999996,0.22110831935702663,0.0,0.0,0.0,0.0,1.0,0.0
6600.0,5.8188373,0.0,6600.0,82.5,82.5,-7599.999999999858,73.28862164662348,6600.0,0.0,10.0,6788.2,289.84554507530385,0.0,0.0,6.199999999999999,0.44221663871405326,3.5999999999999996,0.22110831935702663,3.5999999999999996,0.22110831935702663,2.5999999999999996,0.22110831935702663,0.0,0.0,0.0,0.0,1.0,0.0
6720.0,6.0060385,0.0,6720.0,82.1577380952381,82.1577380952381,-7893.333333333162,73.01980198019803,6720.0,0.0,10.0,7043.5,307.0287807718068,0.0,0.0,6.599999999999999,0.3999999999999999,3.7999999999999994,0.19999999999999996,3.7999999999999994,0.19999999999999996,2.6999999999999993,0.21343747458109488,0.0,0.0,0.0,0.0,1.0,0.0
6840.0,6.1308393,0.0,6840.0,82.36842105263158,82.36842105263158,-7940.000000000178,73.57581069237511,6840.0,0.0,10.0,7140.9,309.6244122588958,0.0,0.0,6.599999999999999,0.3999999999999999,3.7999999999999994,0.19999999999999996,3.7999999999999994,0.19999999999999996,2.6999999999999993,0.21343747458109488,0.0,0.0,0.0,0.0,1.0,0.0
6960.0,6.3024404,0.0,6960.0,81.69540229885057,81.69540229885057,-8393.333333333154,72.80102476515799,6960.0,0.0,10.0,7443.6,312.05199709165277,0.0,0.0,6.799999999999999,0.3590109871423002,3.8999999999999995,0.1795054935711501,3.8999999999999995,0.1795054935711501,2.7999999999999994,0.19999999999999996,0.0,0.0,0.0,0.0,1.0,0.0
7080.0,6.4272412,0.0,7080.0,81.82203389830508,81.82203389830508,-8480.000000000025,73.2098251457119,7080.0,0.0,10.0,7500.7,310.2487908473169,0.0,0.0,6.799999999999999,0.3590109871423002,3.8999999999999995,0.1795054935711501,3.8999999999999995,0.1795054935711501,2.7999999999999994,0.19999999999999996,0.0,0.0,0.0,0.0,1.0,0.0
7200.0,6.552042,0.0,7200.0,81.90277777777779,81.90277777777779,-8586.666666666695,73.53777416734363,7200.0,0.0,10.0,7564.2,309.47531942520607,0.0,0.0,6.799999999999999,0.3590109871423002,3.8999999999999995,0.1795054935711501,3.8999999999999995,0.1795054935711501,2.7999999999999994,0.19999999999999996,0.0,0.0,0.0,0.0,1.0,0.0
7320.0,6.6612427,0.0,7320.0,82.17213114754098,82.17213114754098,-8600.000000000107,74.12767644726407,7320.0,0.0,10.0,7603.2,308.57550129587406,0.0,0.0,6.799999999999999,0.3590109871423002,3.8999999999999995,0.1795054935711501,3.8999999999999995,0.1795054935711501,2.7999999999999994,0.19999999999999996,0.0,0.0,0.0,0.0,1.0,0.0
7440.0,6.8172437,0.0,7440.0,82.1236559139785,82.1236559139785,-8212.499999999834,73.72060857538037,7440.0,0.0,10.0,7851.1,315.9975544912404,0.0,0.0,7.0,0.42163702135578385,3.9999999999999996,0.2108185106778919,3.9999999999999996,0.2108185106778919,2.9,0.2333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
7560.0,6.9576446,0.0,7560.0,82.35449735449735,82.35449735449735,-8237.500000000173,73.6415728116973,7560.0,0.0,10.0,7963.2,317.7202053519556,0.0,0.0,7.0,0.42163702135578385,3.9999999999999996,0.2108185106778919,3.9999999999999996,0.2108185106778919,2.9,0.2333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
7680.0,7.1136456,0.0,7680.0,82.60416666666667,82.60416666666667,-8250.00000000003,73.60205492985577,7680.0,0.0,10.0,8043.300000000001,317.9889603254945,0.0,0.0,7.200000000000001,0.46666666666666673,4.1,0.23333333333333328,4.1,0.23333333333333328,3.0000000000000004,0.25819888974716115,0.0,0.0,0.0,0.0,1.0,0.0
